director,revenue,title
Valerie Faris,100523181.0,Little Miss Sunshine
Brian Taylor,42931041.0,Crank
Mark Neveldine,42931041.0,Crank
Vincente Minnelli,1606624.0,Cabin in the Sky
Busby Berkeley,1606624.0,Cabin in the Sky
Jill Culton,197309027.0,Open Season
Roger Allers,197309027.0,Open Season
Anthony Stacchi,197309027.0,Open Season
David Bowers,64459316.0,Flushed Away
Sam Fell,64459316.0,Flushed Away
Yvette Kaplan,38085778.0,Happily N'Ever After
Paul Bolger,38085778.0,Happily N'Ever After
Greg Tiernan,38085778.0,Happily N'Ever After
Jason Friedberg,86865564.0,Epic Movie
Aaron Seltzer,86865564.0,Epic Movie
Danny Pang,1109660.0,The Messengers
Oxide Pang Chun,1109660.0,The Messengers
Jan Pinkava,623722818.0,Ratatouille
Brad Bird,623722818.0,Ratatouille
Chris Miller,798958165.0,Shrek the Third
Raman Hui,798958165.0,Shrek the Third
Rolf de Heer,300000.0,Ten Canoes
Peter Djigirr,300000.0,Ten Canoes
Ash Brannon,149044513.0,Surf's Up
Chris Buck,149044513.0,Surf's Up
Oliver Hirschbiegel,15071514.0,The Invasion
James McTeigue,15071514.0,The Invasion
Shari Springer Berman,47738099.0,The Nanny Diaries
Robert Pulcini,47738099.0,The Nanny Diaries
Bobby Farrelly,127766650.0,The Heartbreak Kid
Peter Farrelly,127766650.0,The Heartbreak Kid
Steve Hickner,287594577.0,Bee Movie
Simon J. Smith,287594577.0,Bee Movie
Joel Coen,171600000.0,No Country for Old Men
Ethan Coen,171600000.0,No Country for Old Men
Colin Strause,41797066.0,Aliens vs Predator: Requiem
Greg Strause,41797066.0,Aliens vs Predator: Requiem
Jason Friedberg,84646831.0,Meet the Spartans
Aaron Seltzer,84646831.0,Meet the Spartans
David Moreau,56309766.0,The Eye
Xavier Palud,56309766.0,The Eye
Mark Pellington,22730842.0,U2 3D
Catherine Owens,22730842.0,U2 3D
Jimmy Hayward,297138014.0,Horton Hears a Who!
Steve Martino,297138014.0,Horton Hears a Who!
Jennifer Flackett,100076342.0,Nim's Island
Mark Levin,100076342.0,Nim's Island
Jon Hurwitz,43493123.0,Harold & Kumar Escape from Guantanamo Bay
Hayden Schlossberg,43493123.0,Harold & Kumar Escape from Guantanamo Bay
Lilly Wachowski,93945766.0,Speed Racer
Lana Wachowski,93945766.0,Speed Racer
Bernie Goldmann,346592.0,Meet Bill
Melisa Wallack,346592.0,Meet Bill
Mark Osborne,631744560.0,Kung Fu Panda
John Stevenson,631744560.0,Kung Fu Panda
Joel Coen,163720069.0,Burn After Reading
Ethan Coen,163720069.0,Burn After Reading
Jason Friedberg,14109284.0,Disaster Movie
Aaron Seltzer,14109284.0,Disaster Movie
Danny Pang,42487390.0,Bangkok Dangerous
Oxide Pang Chun,42487390.0,Bangkok Dangerous
Eric Darnell,603900354.0,Madagascar: Escape 2 Africa
Tom McGrath,603900354.0,Madagascar: Escape 2 Africa
Chris Williams,309979994.0,Bolt
Byron Howard,309979994.0,Bolt
Robert Stevenhagen,50877145.0,The Tale of Despereaux
Sam Fell,50877145.0,The Tale of Despereaux
Gary Goldman,11657385.0,Rock-A-Doodle
Don Bluth,11657385.0,Rock-A-Doodle
Conrad Vernon,381509870.0,Monsters vs Aliens
Rob Letterman,381509870.0,Monsters vs Aliens
Brian Taylor,34560577.0,Crank: High Voltage
Mark Neveldine,34560577.0,Crank: High Voltage
Alastair Fothergill,109000000.0,Earth
Mark Linfield,109000000.0,Earth
Hal Haberman,7202.0,Special
Jeremy Passmore,7202.0,Special
John Ireland,250000.0,The Fast and the Furious
Edward Sampson,250000.0,The Fast and the Furious
Brian Taylor,40828540.0,Gamer
Mark Neveldine,40828540.0,Gamer
Phil Lord,242988466.0,Cloudy with a Chance of Meatballs
Christopher Miller,242988466.0,Cloudy with a Chance of Meatballs
Joel Coen,31430334.0,A Serious Man
Ethan Coen,31430334.0,A Serious Man
Ricky Gervais,31912793.0,The Invention of Lying
Matthew Robinson,31912793.0,The Invention of Lying
Natalie Portman,8049666.0,"New York, I Love You"
Yvan Attal,8049666.0,"New York, I Love You"
Fatih Akin,8049666.0,"New York, I Love You"
Joshua Marston,8049666.0,"New York, I Love You"
Mira Nair,8049666.0,"New York, I Love You"
Allen Hughes,8049666.0,"New York, I Love You"
Randall Balsmeyer,8049666.0,"New York, I Love You"
Brett Ratner,8049666.0,"New York, I Love You"
Shekhar Kapur,8049666.0,"New York, I Love You"
Shunji Iwai,8049666.0,"New York, I Love You"
Jiang Wen,8049666.0,"New York, I Love You"
Gary Goldman,3983912.0,The Pebble and the Penguin
Don Bluth,3983912.0,The Pebble and the Penguin
Jorge Blanco,104945765.0,Planet 51
Javier Abad,104945765.0,Planet 51
Marcos Martínez,104945765.0,Planet 51
Ron Clements,267045765.0,The Princess and the Frog
John Musker,267045765.0,The Princess and the Frog
Michael Spierig,51416464.0,Daybreakers
Peter Spierig,51416464.0,Daybreakers
Albert Hughes,157107755.0,The Book of Eli
Allen Hughes,157107755.0,The Book of Eli
Glenn Ficarra,10652035.0,I Love You Phillip Morris
John Requa,10652035.0,I Love You Phillip Morris
Chris Sanders,494878759.0,How to Train Your Dragon
Dean DeBlois,494878759.0,How to Train Your Dragon
Shinji Aramaki,1000000.0,Halo Legends
Hideki Futamura,1000000.0,Halo Legends
Brian Koppelman,5024782.0,Solitary Man
David Levien,5024782.0,Solitary Man
Pierre Coffin,543513985.0,Despicable Me
Chris Renaud,543513985.0,Despicable Me
Gilles Lellouche,823258.0,Narco
Tristan Aurouet,823258.0,Narco
Josh Gordon,49830607.0,The Switch
Will Speck,49830607.0,The Switch
Robert Rodriguez,31327899.0,Machete
Ethan Maniquis,31327899.0,Machete
Jason Friedberg,80547866.0,Vampires Suck
Aaron Seltzer,80547866.0,Vampires Suck
Rob Epstein,617000.0,Howl
Jeffrey Friedman,617000.0,Howl
Ryan Fleck,6491240.0,It's Kind of a Funny Story
Anna Boden,6491240.0,It's Kind of a Funny Story
Henry Joost,3045943.0,Catfish
Ariel Schulman,3045943.0,Catfish
Måns Mårlind,851517.0,Shelter
Björn Stein,851517.0,Shelter
Byron Howard,591794936.0,Tangled
Nathan Greno,591794936.0,Tangled
Shari Springer Berman,453079.0,The Extra Man
Robert Pulcini,453079.0,The Extra Man
Colin Strause,66821036.0,Skyline
Greg Strause,66821036.0,Skyline
Joel Coen,252276927.0,True Grit
Ethan Coen,252276927.0,True Grit
Lucy Walker,187716.0,Waste Land
João Jardim,187716.0,Waste Land
Bobby Farrelly,83160734.0,Hall Pass
Peter Farrelly,83160734.0,Hall Pass
Huck Botko,563706.0,The Virginity Hit
Andrew Gurland,563706.0,The Virginity Hit
John Lasseter,559852396.0,Cars 2
Brad Lewis,559852396.0,Cars 2
Harold S. Bucquet,551.0,The Mysterious Lady
Fred Niblo,551.0,The Mysterious Lady
Glenn Ficarra,142851197.0,"Crazy, Stupid, Love."
John Requa,142851197.0,"Crazy, Stupid, Love."
Stephen Anderson,14460000.0,Winnie the Pooh
Don Hall,14460000.0,Winnie the Pooh
Ben Gluck,39300000.0,Alpha and Omega
Anthony Bell,39300000.0,Alpha and Omega
Heidi Ewing,103735.0,Freakonomics
Rachel Grady,103735.0,Freakonomics
Morgan Spurlock,103735.0,Freakonomics
Seth Gordon,103735.0,Freakonomics
Alex Gibney,103735.0,Freakonomics
Eugene Jarecki,103735.0,Freakonomics
Henry Joost,205703818.0,Paranormal Activity 3
Ariel Schulman,205703818.0,Paranormal Activity 3
Kevin Macdonald,225861.0,Life in a Day
Zillah Bowes,225861.0,Life in a Day
Måns Mårlind,160112671.0,Underworld: Awakening
Björn Stein,160112671.0,Underworld: Awakening
Brian Taylor,149217355.0,Ghost Rider: Spirit of Vengeance
Mark Neveldine,149217355.0,Ghost Rider: Spirit of Vengeance
Kyle Balda,348840316.0,The Lorax
Chris Renaud,348840316.0,The Lorax
Mike McCoy,81272766.0,Act of Valor
Scott Waugh,81272766.0,Act of Valor
Phil Lord,201585328.0,21 Jump Street
Christopher Miller,201585328.0,21 Jump Street
Jay Duplass,4417580.0,"Jeff, Who Lives at Home"
Mark Duplass,4417580.0,"Jeff, Who Lives at Home"
Stephen St. Leger,32204030.0,Lockout
James Mather,32204030.0,Lockout
Jon Hurwitz,234989584.0,American Reunion
Hayden Schlossberg,234989584.0,American Reunion
Chris Kentis,13101672.0,Silent House
Laura Lau,13101672.0,Silent House
Bobby Farrelly,54819301.0,The Three Stooges
Peter Farrelly,54819301.0,The Three Stooges
Peter Lord,118338361.0,The Pirates! In an Adventure with Scientists!
Jeff Newitt,118338361.0,The Pirates! In an Adventure with Scientists!
Conrad Vernon,746921274.0,Madagascar 3: Europe's Most Wanted
Eric Darnell,746921274.0,Madagascar 3: Europe's Most Wanted
Tom McGrath,746921274.0,Madagascar 3: Europe's Most Wanted
Brenda Chapman,538983207.0,Brave
Mark Andrews,538983207.0,Brave
Steve Purcell,538983207.0,Brave
Nick Ormerod,8303261.0,Bel Ami
Declan Donnellan,8303261.0,Bel Ami
Noel Clarke,1163967.0,4.3.2.1
Mark Davis,1163967.0,4.3.2.1
