genre,revenue,title
Comedy,51053787.0,Hoodwinked!
Family,51053787.0,Hoodwinked!
Comedy,48548426.0,Date Movie
Comedy,343397247.0,Over the Hedge
Animation,343397247.0,Over the Hedge
Family,343397247.0,Over the Hedge
Animation,461983149.0,Cars
Adventure,461983149.0,Cars
Comedy,461983149.0,Cars
Family,461983149.0,Cars
Comedy,130431368.0,"You, Me and Dupree"
Romance,130431368.0,"You, Me and Dupree"
Comedy,100523181.0,Little Miss Sunshine
Drama,100523181.0,Little Miss Sunshine
Action,42931041.0,Crank
Thriller,42931041.0,Crank
Crime,42931041.0,Crank
Fantasy,1606624.0,Cabin in the Sky
Music,1606624.0,Cabin in the Sky
Adventure,197309027.0,Open Season
Animation,197309027.0,Open Season
Family,197309027.0,Open Season
Adventure,64459316.0,Flushed Away
Animation,64459316.0,Flushed Away
Comedy,64459316.0,Flushed Away
Family,64459316.0,Flushed Away
Animation,38085778.0,Happily N'Ever After
Comedy,38085778.0,Happily N'Ever After
Family,38085778.0,Happily N'Ever After
Fantasy,38085778.0,Happily N'Ever After
Science Fiction,38085778.0,Happily N'Ever After
Action,86865564.0,Epic Movie
Adventure,86865564.0,Epic Movie
Comedy,86865564.0,Epic Movie
Mystery,1109660.0,The Messengers
Thriller,1109660.0,The Messengers
Horror,1109660.0,The Messengers
Animation,623722818.0,Ratatouille
Comedy,623722818.0,Ratatouille
Family,623722818.0,Ratatouille
Fantasy,623722818.0,Ratatouille
Fantasy,798958165.0,Shrek the Third
Adventure,798958165.0,Shrek the Third
Animation,798958165.0,Shrek the Third
Comedy,798958165.0,Shrek the Third
Family,798958165.0,Shrek the Third
Adventure,300000.0,Ten Canoes
Comedy,300000.0,Ten Canoes
Drama,300000.0,Ten Canoes
Animation,149044513.0,Surf's Up
Comedy,149044513.0,Surf's Up
Family,149044513.0,Surf's Up
Science Fiction,15071514.0,The Invasion
Thriller,15071514.0,The Invasion
Comedy,47738099.0,The Nanny Diaries
Drama,47738099.0,The Nanny Diaries
Romance,47738099.0,The Nanny Diaries
Comedy,127766650.0,The Heartbreak Kid
Family,287594577.0,Bee Movie
Animation,287594577.0,Bee Movie
Adventure,287594577.0,Bee Movie
Comedy,287594577.0,Bee Movie
Crime,171600000.0,No Country for Old Men
Drama,171600000.0,No Country for Old Men
Thriller,171600000.0,No Country for Old Men
Fantasy,41797066.0,Aliens vs Predator: Requiem
Action,41797066.0,Aliens vs Predator: Requiem
Science Fiction,41797066.0,Aliens vs Predator: Requiem
Thriller,41797066.0,Aliens vs Predator: Requiem
Horror,41797066.0,Aliens vs Predator: Requiem
Comedy,84646831.0,Meet the Spartans
Drama,56309766.0,The Eye
Horror,56309766.0,The Eye
Thriller,56309766.0,The Eye
Music,22730842.0,U2 3D
Documentary,22730842.0,U2 3D
Animation,297138014.0,Horton Hears a Who!
Comedy,297138014.0,Horton Hears a Who!
Family,297138014.0,Horton Hears a Who!
Adventure,297138014.0,Horton Hears a Who!
Fantasy,297138014.0,Horton Hears a Who!
Adventure,100076342.0,Nim's Island
Comedy,100076342.0,Nim's Island
Family,100076342.0,Nim's Island
Fantasy,100076342.0,Nim's Island
Comedy,43493123.0,Harold & Kumar Escape from Guantanamo Bay
Adventure,43493123.0,Harold & Kumar Escape from Guantanamo Bay
Action,93945766.0,Speed Racer
Family,93945766.0,Speed Racer
Science Fiction,93945766.0,Speed Racer
Comedy,346592.0,Meet Bill
Drama,346592.0,Meet Bill
Romance,346592.0,Meet Bill
Adventure,631744560.0,Kung Fu Panda
Animation,631744560.0,Kung Fu Panda
Family,631744560.0,Kung Fu Panda
Comedy,631744560.0,Kung Fu Panda
Comedy,163720069.0,Burn After Reading
Drama,163720069.0,Burn After Reading
Action,14109284.0,Disaster Movie
Comedy,14109284.0,Disaster Movie
Action,42487390.0,Bangkok Dangerous
Crime,42487390.0,Bangkok Dangerous
Thriller,42487390.0,Bangkok Dangerous
Family,603900354.0,Madagascar: Escape 2 Africa
Animation,603900354.0,Madagascar: Escape 2 Africa
Animation,309979994.0,Bolt
Family,309979994.0,Bolt
Adventure,309979994.0,Bolt
Comedy,309979994.0,Bolt
Adventure,50877145.0,The Tale of Despereaux
Animation,50877145.0,The Tale of Despereaux
Family,50877145.0,The Tale of Despereaux
Comedy,11657385.0,Rock-A-Doodle
Family,11657385.0,Rock-A-Doodle
Animation,11657385.0,Rock-A-Doodle
Fantasy,11657385.0,Rock-A-Doodle
Music,11657385.0,Rock-A-Doodle
Animation,381509870.0,Monsters vs Aliens
Family,381509870.0,Monsters vs Aliens
Adventure,381509870.0,Monsters vs Aliens
Science Fiction,381509870.0,Monsters vs Aliens
Action,34560577.0,Crank: High Voltage
Thriller,34560577.0,Crank: High Voltage
Crime,34560577.0,Crank: High Voltage
Documentary,109000000.0,Earth
Drama,7202.0,Special
Fantasy,7202.0,Special
Science Fiction,7202.0,Special
Action,250000.0,The Fast and the Furious
Crime,250000.0,The Fast and the Furious
Drama,250000.0,The Fast and the Furious
Action,40828540.0,Gamer
Thriller,40828540.0,Gamer
Science Fiction,40828540.0,Gamer
Animation,242988466.0,Cloudy with a Chance of Meatballs
Comedy,242988466.0,Cloudy with a Chance of Meatballs
Family,242988466.0,Cloudy with a Chance of Meatballs
Comedy,31430334.0,A Serious Man
Drama,31430334.0,A Serious Man
Comedy,31912793.0,The Invention of Lying
Romance,31912793.0,The Invention of Lying
Fantasy,31912793.0,The Invention of Lying
Comedy,8049666.0,"New York, I Love You"
Drama,8049666.0,"New York, I Love You"
Romance,8049666.0,"New York, I Love You"
Animation,3983912.0,The Pebble and the Penguin
Adventure,3983912.0,The Pebble and the Penguin
Family,3983912.0,The Pebble and the Penguin
Science Fiction,104945765.0,Planet 51
Animation,104945765.0,Planet 51
Family,104945765.0,Planet 51
Comedy,104945765.0,Planet 51
Adventure,104945765.0,Planet 51
Romance,267045765.0,The Princess and the Frog
Family,267045765.0,The Princess and the Frog
Animation,267045765.0,The Princess and the Frog
Music,267045765.0,The Princess and the Frog
Fantasy,51416464.0,Daybreakers
Horror,51416464.0,Daybreakers
Action,51416464.0,Daybreakers
Thriller,51416464.0,Daybreakers
Science Fiction,51416464.0,Daybreakers
Action,157107755.0,The Book of Eli
Thriller,157107755.0,The Book of Eli
Science Fiction,157107755.0,The Book of Eli
Comedy,10652035.0,I Love You Phillip Morris
Drama,10652035.0,I Love You Phillip Morris
Romance,10652035.0,I Love You Phillip Morris
Fantasy,494878759.0,How to Train Your Dragon
Adventure,494878759.0,How to Train Your Dragon
Animation,494878759.0,How to Train Your Dragon
Family,494878759.0,How to Train Your Dragon
Action,1000000.0,Halo Legends
Animation,1000000.0,Halo Legends
Science Fiction,1000000.0,Halo Legends
Comedy,5024782.0,Solitary Man
Drama,5024782.0,Solitary Man
Romance,5024782.0,Solitary Man
Animation,543513985.0,Despicable Me
Family,543513985.0,Despicable Me
Comedy,823258.0,Narco
Comedy,49830607.0,The Switch
Romance,49830607.0,The Switch
Drama,49830607.0,The Switch
Action,31327899.0,Machete
Comedy,31327899.0,Machete
Thriller,31327899.0,Machete
Horror,80547866.0,Vampires Suck
Comedy,80547866.0,Vampires Suck
Drama,617000.0,Howl
Comedy,6491240.0,It's Kind of a Funny Story
Drama,6491240.0,It's Kind of a Funny Story
Documentary,3045943.0,Catfish
Horror,851517.0,Shelter
Mystery,851517.0,Shelter
Thriller,851517.0,Shelter
Animation,591794936.0,Tangled
