actor,revenue,title
Raiden Integra,183987723.0,Jupiter Ascending
Ryan Browning Johnson,183987723.0,Jupiter Ascending
Clem So,183987723.0,Jupiter Ascending
Claire Benedict,183987723.0,Jupiter Ascending
Mickey Rourke,39407616.0,Sin City: A Dame to Kill For
Jessica Alba,39407616.0,Sin City: A Dame to Kill For
Josh Brolin,39407616.0,Sin City: A Dame to Kill For
Joseph Gordon-Levitt,39407616.0,Sin City: A Dame to Kill For
Rosario Dawson,39407616.0,Sin City: A Dame to Kill For
Bruce Willis,39407616.0,Sin City: A Dame to Kill For
Eva Green,39407616.0,Sin City: A Dame to Kill For
Powers Boothe,39407616.0,Sin City: A Dame to Kill For
Dennis Haysbert,39407616.0,Sin City: A Dame to Kill For
Ray Liotta,39407616.0,Sin City: A Dame to Kill For
Christopher Meloni,39407616.0,Sin City: A Dame to Kill For
Jeremy Piven,39407616.0,Sin City: A Dame to Kill For
Christopher Lloyd,39407616.0,Sin City: A Dame to Kill For
Jaime King,39407616.0,Sin City: A Dame to Kill For
Juno Temple,39407616.0,Sin City: A Dame to Kill For
Stacy Keach,39407616.0,Sin City: A Dame to Kill For
Marton Csokas,39407616.0,Sin City: A Dame to Kill For
Jude Ciccolella,39407616.0,Sin City: A Dame to Kill For
Jamie Chung,39407616.0,Sin City: A Dame to Kill For
Lady Gaga,39407616.0,Sin City: A Dame to Kill For
Alexa PenaVega,39407616.0,Sin City: A Dame to Kill For
Julia Garner,39407616.0,Sin City: A Dame to Kill For
Billy Blair,39407616.0,Sin City: A Dame to Kill For
Patricia Vonne,39407616.0,Sin City: A Dame to Kill For
Bart Fletcher,39407616.0,Sin City: A Dame to Kill For
Alejandro Rose-Garcia,39407616.0,Sin City: A Dame to Kill For
Samuel Davis,39407616.0,Sin City: A Dame to Kill For
Mike Davis,39407616.0,Sin City: A Dame to Kill For
Kimberly Cox,39407616.0,Sin City: A Dame to Kill For
Alcides Dias,39407616.0,Sin City: A Dame to Kill For
Vincent Fuentes,39407616.0,Sin City: A Dame to Kill For
Rob Franco,39407616.0,Sin City: A Dame to Kill For
Daylon Walton,39407616.0,Sin City: A Dame to Kill For
Eloise DeJoria,39407616.0,Sin City: A Dame to Kill For
Bob Schreck,39407616.0,Sin City: A Dame to Kill For
Lawrence Varnado,39407616.0,Sin City: A Dame to Kill For
Jimmy Gonzales,39407616.0,Sin City: A Dame to Kill For
Tommy Townsend,39407616.0,Sin City: A Dame to Kill For
Robert Lott,39407616.0,Sin City: A Dame to Kill For
Gregory Kelly,39407616.0,Sin City: A Dame to Kill For
Patrick Sane,39407616.0,Sin City: A Dame to Kill For
Greg Ingram,39407616.0,Sin City: A Dame to Kill For
Will Beinbrink,39407616.0,Sin City: A Dame to Kill For
Dimitrius Pulido,39407616.0,Sin City: A Dame to Kill For
John Wirt,39407616.0,Sin City: A Dame to Kill For
Emmy Robbin,39407616.0,Sin City: A Dame to Kill For
Luis Albert Acevedo Jr.,39407616.0,Sin City: A Dame to Kill For
Christian Bowman,39407616.0,Sin City: A Dame to Kill For
Johnny Reno,39407616.0,Sin City: A Dame to Kill For
Callie Hernandez,39407616.0,Sin City: A Dame to Kill For
Ben Kingsley,108255770.0,The Boxtrolls
Isaac Hempstead-Wright,108255770.0,The Boxtrolls
Elle Fanning,108255770.0,The Boxtrolls
Dee Bradley Baker,108255770.0,The Boxtrolls
Toni Collette,108255770.0,The Boxtrolls
Jared Harris,108255770.0,The Boxtrolls
Nick Frost,108255770.0,The Boxtrolls
Richard Ayoade,108255770.0,The Boxtrolls
Tracy Morgan,108255770.0,The Boxtrolls
Simon Pegg,108255770.0,The Boxtrolls
Nika Futterman,108255770.0,The Boxtrolls
Pat Fraley,108255770.0,The Boxtrolls
Fred Tatasciore,108255770.0,The Boxtrolls
Max Mitchell,108255770.0,The Boxtrolls
Maurice LaMarche,108255770.0,The Boxtrolls
James Urbaniak,108255770.0,The Boxtrolls
Brian George,108255770.0,The Boxtrolls
Lori Tritel,108255770.0,The Boxtrolls
Ethan Hawke,3000000.0,Predestination
Sarah Snook,3000000.0,Predestination
Noah Taylor,3000000.0,Predestination
Christopher Kirby,3000000.0,Predestination
Madeleine West,3000000.0,Predestination
Jim Knobeloch,3000000.0,Predestination
Freya Stafford,3000000.0,Predestination
Elise Jansen,3000000.0,Predestination
